case_id,family,refinement_level_id,n_electrodes,conductivity_pattern,contact_impedance_exact,drive_label,solver,formulation,truth_relative_l2,truth_max_abs,exact_reduced_scaled_backward_residual,voltage_gauge_relative_residual,reduced_condition_number_2_estimate,classic_robin_relative_l2
X01,range,Q0,16,uniform,1,adjacent,PyEIDORS/DOLFINx,classic,1.3032086527364565e-15,9.345317203799345e-15,4.5628231485871555e-17,6.823220871811818e-17,47.697807812864,7.120845370859045e-16
X01,range,Q0,16,uniform,1,adjacent,PyEIDORS/DOLFINx,robin_transconductance,1.4291676735987542e-15,1.0011451018574439e-14,4.1461400398838096e-17,1.3722035304554455e-16,47.697807812864,7.120845370859045e-16
X01,range,Q0,16,uniform,1,adjacent,NGSolve,classic,5.164183627234171e-15,3.5316307155908586e-14,3.346608907457746e-16,6.613077203285321e-17,47.697807812864,6.622413604423196e-16
X01,range,Q0,16,uniform,1,adjacent,NGSolve,robin_transconductance,5.13760176751985e-15,3.5316307155908586e-14,3.322362874740091e-16,1.1659400088481507e-16,47.697807812864,6.622413604423196e-16
X01,range,Q0,16,uniform,1,adjacent,EIDORS,classic,7.662251348964788e-16,5.257992905223916e-15,4.371167187866353e-17,1.8976507209051737e-16,47.697807812864,5.251086653575984e-16
X01,range,Q0,16,uniform,1,adjacent,EIDORS,robin_transconductance,8.708020350290783e-16,6.793013800892271e-15,4.1236954868475106e-17,1.1117092469795092e-16,47.697807812864,5.251086653575984e-16
X02,range,Q0,16,uniform,1,skip-4,PyEIDORS/DOLFINx,classic,2.7461125847423895e-15,2.6517099458159962e-14,8.821168787711871e-17,1.1874409295816192e-16,47.697807812864,1.022162266175801e-15
X02,range,Q0,16,uniform,1,skip-4,PyEIDORS/DOLFINx,robin_transconductance,2.9279433771996256e-15,2.9959241207034175e-14,7.925975716408788e-17,1.5769304403143377e-16,47.697807812864,1.022162266175801e-15
X02,range,Q0,16,uniform,1,skip-4,NGSolve,classic,8.503060087194629e-15,7.730132346220137e-14,3.150627260992755e-16,1.0514626104960025e-16,47.697807812864,1.083731781556795e-15
X02,range,Q0,16,uniform,1,skip-4,NGSolve,robin_transconductance,8.553163919374255e-15,8.795946449860287e-14,3.1762654572995605e-16,1.393144436337955e-16,47.697807812864,1.083731781556795e-15
X02,range,Q0,16,uniform,1,skip-4,EIDORS,classic,1.3584262351863029e-15,1.585895842175846e-14,5.687906616003098e-17,2.2136930705016741e-16,47.697807812864,7.755418224670667e-16
X02,range,Q0,16,uniform,1,skip-4,EIDORS,robin_transconductance,1.6298835927972563e-15,1.4860208072132046e-14,5.437455896133796e-17,1.6222430400375216e-16,47.697807812864,7.755418224670667e-16
X03,range,Q0,16,uniform,1,adjacent,PyEIDORS/DOLFINx,classic,1.350489115715739e-16,1.859558632122203e-15,8.601871158309917e-18,3.1777235322531e-17,17.276402760088622,2.6341387440467455e-16
X03,range,Q0,16,uniform,1,adjacent,PyEIDORS/DOLFINx,robin_transconductance,2.1924356287619634e-16,3.624874292364339e-15,1.4026494552260703e-17,1.3995311391814604e-16,17.276402760088622,2.6341387440467455e-16
X03,range,Q0,16,uniform,1,adjacent,NGSolve,classic,2.9994515467431092e-15,2.0158521910285592e-14,2.463739321152633e-16,3.484436751571717e-17,17.276402760088622,2.3345895280756103e-16
X03,range,Q0,16,uniform,1,adjacent,NGSolve,robin_transconductance,3.020293328594204e-15,2.0500264266666718e-14,2.533562959875578e-16,1.3967962051287412e-16,17.276402760088622,2.3345895280756103e-16
X03,range,Q0,16,uniform,1,adjacent,EIDORS,classic,5.173878614536544e-16,3.624249285466247e-15,4.2458790848863594e-17,6.843522053938163e-17,17.276402760088622,3.1198737832780894e-16
