meas_homogeneous,meas_phantom,difference
9.092946965418226279e-02,9.143741200458806173e-02,5.079423504057989369e-04
4.114880714423285735e-02,4.148284609520340449e-02,3.340389509705471438e-04
2.496048789078708641e-02,2.517210401151180610e-02,2.116161207247196918e-04
1.792637929180132539e-02,1.804298725820405180e-02,1.166079664027264151e-04
1.447396153639121663e-02,1.450302472651818914e-02,2.906319012697250459e-05
1.282398968531790751e-02,1.275407058133574620e-02,-6.991910398216130695e-05
1.232569680699025470e-02,1.212118555482521488e-02,-2.045112521650398196e-04
1.282019410641412581e-02,1.240749049546008460e-02,-4.127036109540412057e-04
1.446926710144426712e-02,1.372126722534713211e-02,-7.479998760971350025e-04
1.792988021174735797e-02,1.670559644059414067e-02,-1.224283771153217293e-03
2.498436484964034615e-02,2.345027230502597093e-02,-1.534092544614375220e-03
4.113655121905261669e-02,4.031881522324529121e-02,-8.177359958073254775e-04
9.087636452270132781e-02,9.153984250050267724e-02,6.634779778013494278e-04
9.098293898113331279e-02,9.134840681125776241e-02,3.654678301244496108e-04
4.106570770550936611e-02,4.134511596966006231e-02,2.794082641506961950e-04
2.494733393173086816e-02,2.515958831889152092e-02,2.122543871606527577e-04
1.792217602839194651e-02,1.807425260520702931e-02,1.520765768150827979e-04
1.446755858012564733e-02,1.455336439042117028e-02,8.580581029552294958e-05
1.281166142360982106e-02,1.280632593470011280e-02,-5.335488909708266392e-06
1.231820750414128370e-02,1.216440213885211334e-02,-1.538053652891703538e-04
1.280959909680103731e-02,1.239599136385094100e-02,-4.136077329500963129e-04
1.446267629045827618e-02,1.363091556901103660e-02,-8.317607214472395871e-04
1.792925366867643283e-02,1.668588132260748896e-02,-1.243372346068943868e-03
2.496741292786395366e-02,2.396683228138173777e-02,-1.000580646482215896e-03
4.105871253028085810e-02,4.105962612282453017e-02,9.135925436720704340e-07
9.085131243137949120e-02,9.153219189180204773e-02,6.808794604225565372e-04
9.079589603761326067e-02,9.107614012188869346e-02,2.802440842754327921e-04
4.106487139218180371e-02,4.130147973962067232e-02,2.366083474388686048e-04
2.495941245325038194e-02,2.515786840183949213e-02,1.984559485891101982e-04
1.792674671168818096e-02,1.808381244307325636e-02,1.570657313850754022e-04
1.446499507632813264e-02,1.456303032462542835e-02,9.803524829729570733e-05
1.281453099567268598e-02,1.280851584053061334e-02,-6.015155142072639571e-06
1.231911440049772953e-02,1.211282877843555469e-02,-2.062856220621748365e-04
1.281552979351981147e-02,1.225170092390493078e-02,-5.638288696148806983e-04
1.447570095730163139e-02,1.348677170877284406e-02,-9.889292485287873302e-04
1.793465601594320530e-02,1.696271953732131355e-02,-9.719364786218917529e-04
2.495283970574943555e-02,2.466764234878356110e-02,-2.851973569658744490e-04
4.110191450952009606e-02,4.142442765585867270e-02,3.225131463385766395e-04
9.092946965418206851e-02,9.143741200458799234e-02,5.079423504059238370e-04
9.095034377298839845e-02,9.118806767884864162e-02,2.377239058602431676e-04
4.114306391083372150e-02,4.135892020377941736e-02,2.158562929456958601e-04
2.499324178779228217e-02,2.518588633484962480e-02,1.926445470573426300e-04
1.794229980277612518e-02,1.809919239195242197e-02,1.568925891762967817e-04
1.448221712132333541e-02,1.456723001785541899e-02,8.501289653208357611e-05
